picture,individual,length,notes
BI15_04-2,1,327.102,
BI15_04-3,1,313.073,
BI15_04-4,1,351.235,
BI15_04-5,1,312.312,
BI15_04-6,1,346.048,
BI15_04-7,1,341.391,
BI15_04-8,1,286.657,
BI15_04-9,1,377.542,
BI15_04-10,1,151.449,
BI15_05-1,1,440.115,
BI15_05-2,1,326.943,
BI15_05-3,1,135.442,
BI15_05-4,1,329.668,
BI15_05-5,1,317.841,
BI15_05-6,1,379.704,
BI15_05-7,1,279.794,
BI15_05-8,1,250.358,
BI15_05-9,1,338.177,
BI15_05-10,1,348.112,
BI15_06-1,1,277.952,
BI15_06-2,1,263.249,
BI15_06-3,1,302.038,
BI15_06-4,1,262.896,
BI15_06-5,1,278.644,
BI15_06-6,1,344.913,
BI15_06-7,1,288.981,
BI15_06-8,1,280.375,
BI15_06-9,1,453.995,
BI15_06-10,1,297.015,
BI20_01-3,1,458.117,
BI20_01-5,1,251.724,
BI20_01-6,1,485.563,
BI20_01-7,1,229.491,
BI20_01-8,1,255.023,
BI20_01-9,1,164.829,
BI20_01-10,1,461.189,
BI20_01-11,1,376.227,
BI20_02-1,1,405.307,
BI20_02-2,1,411.939,
BI20_02-4,1,401.426,
BI20_02-3,1,458.82,picture named BI20_02-30001
BI20_02-5,1,423.703,
BI20_02-6,1,440.356,
BI20_02-7,1,415.249,
BI20_02-8,1,470.242,
BI20_02-9,1,461.716,
BI20_02-10,1,190.214,
BI20_03-1,1,308.812,
BI20_03-2,1,437.254,
BI20_03-3,1,353.532,
BI20_03-4,1,202.532,
BI20_03-5,1,413.466,picture named BI20_03-50001
BI20_03-6,1,342.155,
BI20_03-7,1,437.212,
BI20_03-8,1,417.894,
BI20_03-9,1,487.473,
BI20_03-10,1,445.495,
BI20_04-1,1,312.721,
BI20_04-2,1,386.118,
BI20_04-3,1,389.441,
BI20_04-4,1,228.05,
BI20_04-5,1,62.681,
BI20_04-6,1,441.022,
BI20_04-7,1,491.956,
BI20_05-1,1,429.129,
BI20_05-2,1,438.468,
BI20_05-3,1,413.902,
BI20_05-4,1,333.549,
BI20_05-5,1,285.381,
BI20_05-6,1,459.399,
BI20_05-7,1,291.43,
BI20_05-8,1,312.022,
BI20_05-9,1,430.956,
BI20_05-10,1,356.909,
BI20_06-1,1,148.103,
BI20_06-2,1,124.023,
BI20_06-3,1,476.376,
BI20_06-4,1,388.081,
BI20_06-5,1,298.36,
NP05_01-1,1,147.277,
NP05_01-2,1,75.215,
NP05_01-3,1,156.087,
NP05_01-4,1,154.651,
NP05_01-5,1,133.268,
NP05_01-6,1,135.067,
NP05_01-7,1,126.131,
NP05_01-7,2,82.526,
NP05_01-8,1,118.844,
NP05_01-8,2,53.647,
NP05_02-1,1,95.178,
NP05_02-2,1,108.43,
NP05_02-3,1,137.091,
NP05_02-4,1,130.249,
NP05_02-5,1,157.419,
NP05_02-6,1,145.708,
NP05_02-7,1,114.727,
NP05_02-8,1,102.8,
NP05_02-9,1,87.032,
NP05_02-10,1,131.196,
NP05_04-1,1,16.756,
NP05_04-2,1,12.466,
NP05_04-3,1,9.644,
NP05_04-6,1,18.223,
NP05_06-1,1,101.164,
NP05_06-2,1,124.47,
NP05_06-3,1,131.68,
NP05_06-4,1,119.28,
NP05_06-5,1,117.878,
NP05_06-5,2,96.184,
NP05_06-6,1,78.097,
NP05_06-6,2,140.218,
NP05_06-7,1,82.115,
NP05_06-7,2,95.331,
NP05_05-1,1,122.058,
NP05_05-2,1,44.472,
NP05_05-2,2,47.815,
NP05_05-3,1,102.822,
NP05_05-4,1,44.24,
NP05_05-5,1,67.738,
NP05_05-6,1,93.26,
NP05_05-7,1,124.27,
NP05_05-8,1,87.12,
NP05_05-9,1,118.066,
NP05_03-1,1,143.277,picture named NP05-05-1.tif.tif
NP05_03-2,1,120.355,picture named NP05-05-2.tif.tif
NP05_03-3,1,148.228,picture named NP05-05-3.tif.tif
NP05_03-4,1,101.962,picture named NP05-05-4.tif.tif
NP05_03-5,1,121.612,picture named NP05-05-5.tif.tif
NP05_03-6,1,105.018,picture named NP05-05-6.tif.tif
NP05_03-7,1,106.608,picture named NP05-05-7.tif.tif
NP05_03-8,1,134.023,picture named NP05-05-8.tif.tif
NP05_03-9,1,39.478,picture named NP05-05-9.tif.tif
NP05_03-10,1,87.075,picture named NP05-05-10.tif
NP10_01-1,1,291.777,
NP10_01-2,1,297.255,
NP10_01-3,1,299.818,
NP10_01-3,2,414.105,
NP10_01-3,3,333.659,
NP10_01-4,1,361.88,
NP10_01-7,1,168.708,
NP10_01-8,1,334.211,
NP10_01-9,1,276.864,
NP10_01-10,1,240.513,
NP10_02-1,1,325.771,
NP10_02-2,1,289.339,
NP10_02-3,1,241.125,
NP10_02-4,1,265.408,
NP10_02-5,1,330.533,
NP10_02-5,2,302.741,
NP10_02-7,1,211.525,
NP10_02-8,1,298.707,
NP10_02-9,1,283.67,
NP15_03-1,1,368.651,picture named NP10_03-1
NP15_03-2,1,374.451,picture named NP10_03-2
NP15_03-3,1,412.512,picture named NP10_03-3
NP15_03-4,1,487.866,picture named NP10_03-4
NP15_03-5,1,254.001,picture named NP10_03-5
NP15_03-6,1,456.678,picture named NP10_03-6
NP15_03-7,1,287.929,picture named NP10_03-7
NP15_03-8,1,418.569,picture named NP10_03-8
NP15_03-9,1,428.309,picture named NP10_03-9
NP15_03-10,1,403.117,picture named NP10_03-10
NP10_03-1,1,330.057,picture named NP10_03-10001
NP10_03-2,1,325.868,picture named NP10_03-20001
NP10_03-2,2,278.611,picture named NP10_03-20001
NP10_03-3,1,261.822,picture named NP10_03-30001
NP10_03-4,1,295.583,picture named NP10_03-40001
NP10_03-5,1,241.559,picture named NP10_03-50001
NP10_03-6,1,270.247,picture named NP10_03-60001
NP10_03-7,1,307.971,picture named NP10_03-70001
NP10_03-8,1,311.897,picture named NP10_03-80001
NP10_03-9,1,102.269,picture named NP10_03-90001
NP10_04-1,1,111.96,
NP10_04-2,1,273.558,
NP10_04-2,2,283.601,
NP10_04-5,1,223.668,
NP10_04-5,2,247.49,
NP10_04-4,1,54.058,
NP10_04-6,1,332.895,
NP10_04-7,1,245.556,
NP10_04-8,1,260.137,
NP10_05-1,1,298.438,
NP10_05-1,2,262.508,
NP10_05-2,1,264.195,
NP10_05-3,1,280.298,
NP10_05-4,1,253.263,
NP10_05-4,2,287.861,
NP10_05-5,1,269.064,
NP10_05-6,1,66.11,
