site,code,ibutton_no,date_time,date,time,temperature
ruckle,1,r1.,2018-06-25T08:36:00Z,2018-06-25T07:00:00Z,08:36:00,18
ruckle,1,r1.,2018-06-25T09:06:00Z,2018-06-25T07:00:00Z,09:06:00,22
ruckle,1,r1.,2018-06-25T09:36:00Z,2018-06-25T07:00:00Z,09:36:00,24
ruckle,1,r1.,2018-06-25T10:06:00Z,2018-06-25T07:00:00Z,10:06:00,24
ruckle,1,r1.,2018-06-25T10:36:00Z,2018-06-25T07:00:00Z,10:36:00,27
ruckle,1,r1.,2018-06-25T11:06:00Z,2018-06-25T07:00:00Z,11:06:00,28
ruckle,1,r1.,2018-06-25T11:36:00Z,2018-06-25T07:00:00Z,11:36:00,21.5
ruckle,1,r1.,2018-06-25T12:06:00Z,2018-06-25T07:00:00Z,12:06:00,21.5
ruckle,1,r1.,2018-06-25T12:36:00Z,2018-06-25T07:00:00Z,12:36:00,17
ruckle,1,r1.,2018-06-25T13:06:00Z,2018-06-25T07:00:00Z,13:06:00,14
ruckle,1,r1.,2018-06-25T13:36:00Z,2018-06-25T07:00:00Z,13:36:00,14
ruckle,1,r1.,2018-06-25T14:06:00Z,2018-06-25T07:00:00Z,14:06:00,13.5
ruckle,1,r1.,2018-06-25T14:36:00Z,2018-06-25T07:00:00Z,14:36:00,14
ruckle,1,r1.,2018-06-25T15:06:00Z,2018-06-25T07:00:00Z,15:06:00,12.5
ruckle,1,r1.,2018-06-25T15:36:00Z,2018-06-25T07:00:00Z,15:36:00,13
ruckle,1,r1.,2018-06-25T16:06:00Z,2018-06-25T07:00:00Z,16:06:00,12.5
ruckle,1,r1.,2018-06-25T16:36:00Z,2018-06-25T07:00:00Z,16:36:00,12
ruckle,1,r1.,2018-06-25T17:06:00Z,2018-06-25T07:00:00Z,17:06:00,12
ruckle,1,r1.,2018-06-25T17:36:00Z,2018-06-25T07:00:00Z,17:36:00,11.5
ruckle,1,r1.,2018-06-25T18:06:00Z,2018-06-25T07:00:00Z,18:06:00,12
ruckle,1,r1.,2018-06-25T18:36:00Z,2018-06-25T07:00:00Z,18:36:00,12
ruckle,1,r1.,2018-06-25T19:06:00Z,2018-06-25T07:00:00Z,19:06:00,12
ruckle,1,r1.,2018-06-25T19:36:00Z,2018-06-25T07:00:00Z,19:36:00,12
ruckle,1,r1.,2018-06-25T20:06:00Z,2018-06-25T07:00:00Z,20:06:00,12
ruckle,1,r1.,2018-06-25T20:36:00Z,2018-06-25T07:00:00Z,20:36:00,12
ruckle,1,r1.,2018-06-25T21:06:00Z,2018-06-25T07:00:00Z,21:06:00,12
ruckle,1,r1.,2018-06-25T21:36:00Z,2018-06-25T07:00:00Z,21:36:00,12
ruckle,1,r1.,2018-06-25T22:06:00Z,2018-06-25T07:00:00Z,22:06:00,12
