site,temp,length,rep
NP,10,268.24,06
NP,10,242.421,06
NP,10,192.212,06
NP,10,170.984,06
NP,10,236.135,06
NP,10,217.142,06
NP,10,291.064,06
NP,15,141.657,01
NP,15,325.916,01
NP,15,272.003,01
NP,15,376.47,01
NP,15,378.699,01
NP,15,377.333,01
NP,15,431.323,01
NP,15,380.321,01
NP,15,455.889,01
NP,15,434.08,01
NP,15,440.983,01
NP,15,444.64,01
NP,15,409.572,02
NP,15,210.056,02
NP,15,257.265,02
NP,15,469.005,02
NP,15,397.067,02
NP,15,340.692,02
NP,15,323.194,02
NP,15,404.472,02
NP,15,360.802,02
NP,15,389.711,02
NP,15,283.92,02
NP,15,388.748,04
NP,15,371.389,04
NP,15,308.448,04
NP,15,299.584,04
NP,15,393.262,04
NP,15,436.308,04
NP,15,437.604,04
NP,15,434.067,04
NP,15,378.537,04
NP,15,308.598,04
NP,15,392.214,04
NP,15,443.433,05
NP,15,440.413,05
NP,15,434.941,05
NP,15,360.471,05
NP,15,473.26,05
NP,15,327.442,05
NP,15,428.973,05
NP,15,378.728,05
NP,15,476.727,05
NP,15,373.198,05
NP,15,476.26,05
NP,15,494.112,06
NP,15,559.095,06
NP,15,402.873,06
NP,15,451.693,06
NP,15,384.333,06
NP,15,310.941,06
NP,15,424.262,06
NP,15,368.717,06
NP,15,318.405,06
NP,15,326.6,06
NP,20,538.316,01
NP,20,518.233,01
NP,20,329.236,01
NP,20,373.776,01
NP,20,506.63,01
NP,20,526.215,01
NP,20,468.575,01
NP,20,533.164,01
NP,20,543.949,01
NP,20,500.844,01
NP,20,478.609,02
NP,20,506.706,02
NP,20,483.693,02
NP,20,479.828,02
NP,20,393.822,02
NP,20,478.825,02
NP,20,518.729,02
NP,20,463.438,02
NP,20,537.781,02
NP,20,432.005,02
NP,20,159.049,03
NP,20,317.949,03
NP,20,409.826,03
NP,20,496.866,04
NP,20,216.004,04
NP,20,496.532,04
NP,20,262.136,04
NP,20,483.191,04
NP,20,285.025,04
NP,20,339.069,04
NP,20,471.211,04
NP,20,386.529,04
NP,20,538.463,04
NP,20,393.999,04
NP,20,398.701,04
NP,20,480.754,05
NP,20,274.929,05
NP,20,532.312,05
